Región Hidrográfica,Autoridad Administrativa del Agua,Departamento,Nombre de la Presa,Operador,Departamento(s) de Influencia,Fecha,Volumen Útil/Total (hm³),Porcentaje Almacenado (%),Latitud,Longitud
Pacífico,JEQUETEPEQUE ZARUMILLA,Piura,Poechos,PECHP,Piura,21-Dec,(*) 445.5,29.3,-4.682752,-80.5268315
Pacífico,JEQUETEPEQUE ZARUMILLA,Lambayeque,Tinajones,PEOT,Lambayeque,21-Dec,(*) 331.6,53.0,-6.6499255,-79.4216377
Pacífico,JEQUETEPEQUE ZARUMILLA,Cajamarca,Gallito Ciego,PEJEZA,La Libertad,21-Dec,  366.6,29.3,-7.246674,-79.221177
Pacífico,CAÑETE FORTALEZA,Lima,Viconga,STATKRAFT PERU S.A.,Lima,21-Dec,(*) 30.0,12.7,-10.4126129,-76.8520309
Pacífico,CAÑETE FORTALEZA,Lima,Quisha,JU CHANCAY - HUARAL,Lima,15-Dec,  12.2,36.0,-9.8622406,-76.53719
Pacífico,CAPLINA OCOÑA,Arequipa,Condoroma,AUTODEMA,Arequipa,21-Dec,  259.0,34.4,-15.3004476,-71.1380196
Pacífico,CAPLINA OCOÑA,Arequipa,Los Españoles,AUTODEMA,Arequipa,21-Dec,  9.1,2.2,-20.4275457,-69.5769417
Pacífico,CAPLINA OCOÑA,Arequipa,Pillones,AUTODEMA,Arequipa,21-Dec,  78.5,31.3,-15.9831592,-71.2150923
Pacífico,CAPLINA OCOÑA,Arequipa,Chalhuanca,EGASA,Arequipa,21-Dec,  25.0,30.4,-15.7170802,-71.3193704
Pacífico,CAPLINA OCOÑA,Arequipa,El Frayle,AUTODEMA,Arequipa,21-Dec,  127.2,56.3,-16.1522435,-71.1885371
Pacífico,CAPLINA OCOÑA,Arequipa,Aguada Blanca,AUTODEMA,Arequipa,21-Dec,  22.1,100.0,-16.0823424,-71.27999980176332
Pacífico,CAPLINA OCOÑA,Moquegua,Pasto Grande,PERPG,Moquegua,21-Dec,(*) 200.0,69.8,-17.7183845,-67.196436
Pacífico,CAPLINA OCOÑA,Tacna,Laguna Aricota,EGESUR,Tacna,21-Dec,  280.0,72.0,-17.355617600000002,-70.2872376869737
Pacífico,CAPLINA OCOÑA,Tacna,Jarumas,PET,Tacna,21-Dec,  12.5,80.0,-17.3688099,-69.9459985
Amazonas,CHAPARRA CHINCHA,Huancavelica,Choclococha,PETACC,Ica,21-Dec,  131.1,31.6,-12.8511964,-74.5380969
Amazonas,MANTARO,Pasco,Lago Junín,STATKRAFT PERU S.A.,Junin,21-Dec,(*) 314.7,5.5,-11.030546900000001,-76.1035764165762
Amazonas,MANTARO,Ayacucho,Cuchoquesera,Proyecto Cachi,Ayacucho,21-Dec,  80.0,16.8,-13.2353297,-73.8949489
Amazonas,URUBAMBA VILCANOTA,Cusco,Sibinacocha,EGEMSA,Cusco,21-Dec,  110.0,35.8,-13.8575073,-71.02343770939707
Titicaca,CAPLINA OCOÑA,Tacna,Paucarani,PET,Tacna,21-Dec,  10.5,47.6,-17.5184079,-69.7720803
